code,description
100086-8,R cornea Analysis method
100156-9,SARS-CoV-2 variant Spec NAA+probe
100157-7,SARS-CoV-2 lineage Spec Seq
100158-5,Microalbumin ?Tm Ur-mCnc
100213-8,Prostate cancer multigene analysis Bld/T
1003-3,IAT Comp-Sp Reag SerPl Ql
100305-2,IDH1 exon 4 Mut Anl Bld/Mar Ql
100343-3,FLUBV RNA Sal Ql NAA+probe
100344-1,FLUAV RNA Sal Ql NAA+probe
100345-8,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel
100348-2,MELDNa score
100394-6,Decapod crustaceans IgG Qn
1004-1,DAT Comp-Sp Reag RBC Ql
100458-9,OP COVID-19 Intub+Progress
100459-7,OP COVID-19 Progress note
1006-6,DAT IgG-Sp Reag RBC-Imp
100651-9,Hosp COVID-19 Intub+Progress
100658-4,Hosp COVID-19 Progress note
100662-6,Cortisol free & total panel
100695-6,Gene dis anl carrier interp Bld/T-Imp
1007-4,DAT Poly-Sp Reag RBC Ql
100717-8,FCGR3A gene.p.Phe176Val Bld/T Ql
100732-7,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel
100733-5,LDLc cor Lpa Cholest
100735-0,Mannose-6-phosphate isomerase & phosphomannomutase 1 panel
100737-6,AP Macro SerPl Ql
100740-0,Amylase Macro SerPl Ql
100742-6,LDH Macro SerPl Ql
100743-4,Lipase Macro SerPl Ql
100745-9,Chloride BldMV-sCnc
100746-7,Glucose BldMV-sCnc
100754-1,Plt disorder gene anal Bld/T Seq
100761-6,PALB2 Mut Anl Bld/T
100765-7,Homocysteine & Methylmalonate & 2-Methylcitrate panel
100793-9,Testost Fld-mCnc
100795-4,S100 Ca binding protein B Fld-mCnc
100797-0,Testost Free sp1 p chal Ser-mCnc
100798-8,Testost Free sp2 p chal Ser-mCnc
100837-4,IGF-I sp9 p chal SerPl-mCnc
100838-2,Testost sp9 p chal SerPl-mCnc
100847-3,Gas & ammonia panel
100850-7,Neutrophils # Amn Manual
100854-9,Lymphocytes Bld MC IA-NFr
100856-4,CD3+CD4+ Cells Bld MC-NFr
100857-2,CD3+CD8+ Cells Bld MC-NFr
1009-0,Deprecated DAT Poly-Sp Reag RBC Ql
100900-0,Enterobacteriaceae.carbapenem resistance panel
100902-6,Enterobac.carb res OXA-48 Anal Cult
100904-2,Urinary tract pathogens panel
100906-7,Bacteria # Ur Cult
100907-5,VRE Spec Cult
100910-9,Gram neg colistin resist Stl Cult
100911-7,Campylobacter Stl Ql Cult
100912-5,Enterobacteriaceae.extended spectrum beta lactamase resistance phenotype & Enterococcus species.vancomycin resistant panel
100972-9,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel
100973-7,FLUAV RNA Nose Ql NAA+n-prb
100974-5,FLUBV RNA Nose Ql NAA+n-prb
100976-0,EDN SerPl-mCnc
100983-6,HIV RT failed codons Islt Genotyp
100984-4,HIV 1 group M RNA Gentyp Islt Genotyp
100985-1,HIV protease failed codons Islt Genotyp
100986-9,HIV integrase failed codons Islt Genotyp
100987-7,Lymphocyte T-cell & B-cell & Natural killer subsets panel
100998-4,Cortisol post dose insulin IV panel
100999-2,Somatotropin post dose insulin IV panel
101060-2,An^a Ab SerPl Ql
101064-4,C little o3 Ag RBC Ql
101068-5,Cs^b Ag RBC Ql
101070-1,CEAG Ab SerPl Ql
101089-1,Ge3 Ag RBC Ql
101098-2,JMH Ag RBC Ql
101102-2,Kx Ag RBC Ql
101132-9,Glucose post XXX challenge panel
101141-0,NAT2 Mut Anl Bld/T
101146-9,Monocyte subsets panel
101147-7,Monocytes NFr Bld FC
101148-5,MO1/Monocytes NFr Bld
101152-7,Mitochondria whole genome analysis Bld/T
101179-0,BJ Protein Free 24h MFr Ur
101194-9,Mesocolic excision plane CRC spec
101198-0,Albumin SerPl Neph-mCnc
101199-8,M Protein 5 MFr SerPl Elph
101200-4,M Protein 6 MFr SerPl Elph
101207-9,HEV IgG SerPl Ql Line blot
101208-7,HEV IgM SerPl Ql Line blot
101223-6,Normorphine/Creat Ur
101224-4,PKD1 + PKD2 Del+Dup Bld/T MLPA
