code,generic_name,brand_name,dosage_form
0002-0013,Insulin human,,"INJECTION, SOLUTION"
0002-0095,Insulin human,,"INJECTION, SOLUTION"
0002-0096,Insulin human,,"INJECTION, SOLUTION"
0002-0113,Insulin human,,"INJECTION, SUSPENSION"
0002-0119,Insulin human,,"INJECTION, SUSPENSION"
0002-0121,Insulin lispro,,"INJECTION, SUSPENSION"
0002-0124,Insulin lispro,,"INJECTION, SUSPENSION"
0002-0137,Insulin lispro,,"INJECTION, SUSPENSION"
0002-0152,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-0213,Insulin human,Humulin R,"INJECTION, SOLUTION"
0002-0243,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-0485,Insulin human,,CRYSTAL
0002-0535,Insulin lispro,,CRYSTAL
0002-0770,tirzepatide,,POWDER
0002-0800,diluent,,"INJECTION, SOLUTION"
0002-0872,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-1076,Insulin glargine,,"INJECTION, SOLUTION"
0002-1099,Insulin lispro,,"INJECTION, SOLUTION"
0002-1152,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1200,Florbetapir F 18,Amyvid,"INJECTION, SOLUTION"
0002-1214,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-1220,Flortaucipir F-18,TAUVID,"INJECTION, SOLUTION"
0002-1243,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1340,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-1401,Dulaglutide,,"INJECTION, SOLUTION"
0002-1402,Dulaglutide,,"INJECTION, SOLUTION"
0002-1423,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-1433,Dulaglutide,Trulicity,"INJECTION, SOLUTION"
0002-1434,Dulaglutide,Trulicity,"INJECTION, SOLUTION"
0002-1436,galcanezumab-gnlm,EMGALITY,"INJECTION, SOLUTION"
0002-1437,Insulin glargine,,"INJECTION, SOLUTION"
0002-1442,mirikizumab-mrkz,Omvoh,"INJECTION, SOLUTION"
0002-1445,ixekizumab,TALTZ,"INJECTION, SOLUTION"
0002-1455,Insulin lispro,,"INJECTION, SOLUTION"
0002-1457,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1460,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1471,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1484,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1495,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1506,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-1717,imlunestrant,Inluriyo,"TABLET, FILM COATED"
0002-2002,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-2045,Insulin human,,"INJECTION, SUSPENSION"
0002-2059,Pemetrexed disodium,,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0002-2060,Pemetrexed disodium,,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0002-2129,ramucirumab,,SOLUTION
0002-2214,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-2236,Dulaglutide,Trulicity,"INJECTION, SOLUTION"
0002-2340,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-2377,galcanezumab-gnlm,EMGALITY,"INJECTION, SOLUTION"
0002-2415,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-2423,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-2457,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2460,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2471,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2477,ramucirumab,,SOLUTION
0002-2479,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-2484,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2495,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2499,Insulin lispro,,"INJECTION, SOLUTION"
0002-2506,tirzepatide,ZEPBOUND,"INJECTION, SOLUTION"
0002-2509,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-2510,Insulin human,,"INJECTION, SUSPENSION"
0002-2572,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-2576,Insulin lispro,,"INJECTION, SOLUTION"
0002-2578,Insulin lispro-aabc,,"INJECTION, SOLUTION"
0002-2980,selpercatinib,RETEVMO,CAPSULE
0002-3002,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-3115,galcanezumab-gnlm,,"INJECTION, SOLUTION"
0002-3116,mirikizumab-mrkz,Omvoh,"INJECTION, SOLUTION"
0002-3182,Dulaglutide,Trulicity,"INJECTION, SOLUTION"
0002-3227,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3228,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3229,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3235,Duloxetine hydrochloride,Cymbalta,"CAPSULE, DELAYED RELEASE"
0002-3238,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3239,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3240,Duloxetine hydrochloride,Cymbalta,"CAPSULE, DELAYED RELEASE"
0002-3250,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3251,Atomoxetine hydrochloride,Strattera,CAPSULE
0002-3270,Duloxetine hydrochloride,Cymbalta,"CAPSULE, DELAYED RELEASE"
0002-3411,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3422,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3433,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3444,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3455,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3466,tirzepatide,Mounjaro KwikPen,"INJECTION, SOLUTION"
0002-3511,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3522,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3533,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3544,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3555,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3566,tirzepatide,Zepbound KwikPen,"INJECTION, SOLUTION"
0002-3977,selpercatinib,RETEVMO,CAPSULE
0002-4052,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4103,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4178,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-4182,baricitinib,Olumiant,"TABLET, FILM COATED"
0002-4184,Raloxifene hydrochloride,Evista,TABLET
0002-4210,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4304,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4312,lasmiditan,Reyvow,TABLET
0002-4462,Tadalafil,Cialis,"TABLET, FILM COATED"
0002-4463,Tadalafil,Cialis,"TABLET, FILM COATED"
0002-4464,Tadalafil,Cialis,"TABLET, FILM COATED"
0002-4479,baricitinib,Olumiant,"TABLET, FILM COATED"
0002-4483,abemaciclib,Verzenio,TABLET
0002-4491,lasmiditan,Reyvow,TABLET
0002-4503,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-4523,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4612,tirzepatide,Mounjaro,"INJECTION, SOLUTION"
0002-4732,baricitinib,Olumiant,"TABLET, FILM COATED"
0002-4794,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-4803,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-4815,abemaciclib,Verzenio,TABLET
0002-4839,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-4953,orforglipron,FOUNDAYO,"TABLET, FILM COATED"
0002-5337,abemaciclib,Verzenio,TABLET
0002-5340,selpercatinib,RETEVMO,"TABLET, COATED"
0002-5562,selpercatinib,RETEVMO,"TABLET, COATED"
0002-6007,Insulin lispro,,"INJECTION, SOLUTION"
0002-6052,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6082,selpercatinib,RETEVMO,"TABLET, COATED"
0002-6103,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6120,selpercatinib,RETEVMO,"TABLET, COATED"
0002-6210,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6216,abemaciclib,Verzenio,TABLET
0002-6304,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6523,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6612,tirzepatide,Zepbound,"INJECTION, SOLUTION"
0002-6885,baricitinib,Baricitinib,"TABLET, FILM COATED"
0002-6902,pirtobrutinib,JAYPIRCA,"TABLET, COATED"
0002-7026,pirtobrutinib,JAYPIRCA,"TABLET, COATED"
0002-7510,Insulin lispro,Humalog,"INJECTION, SOLUTION"
0002-7511,Insulin lispro,Humalog Mix75/25,"INJECTION, SUSPENSION"
0002-7516,Insulin lispro,Humalog,"INJECTION, SOLUTION"
0002-7575,mirikizumab-mrkz,Omvoh,"INJECTION, SOLUTION"
0002-7623,Pemetrexed disodium,Alimta,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0002-7640,Pemetrexed disodium,Alimta,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0002-7669,ramucirumab,CYRAMZA,SOLUTION
0002-7678,ramucirumab,CYRAMZA,SOLUTION
0002-7712,Insulin lispro,Humalog KwikPen,"INJECTION, SOLUTION"
0002-7714,Insulin lispro,Humalog Junior KwikPen,"INJECTION, SOLUTION"
0002-7715,Insulin glargine,BASAGLAR KwikPen,"INJECTION, SOLUTION"
0002-7717,mirikizumab-mrkz,Omvoh,KIT
0002-7722,mirikizumab-mrkz,Omvoh,KIT
0002-7724,ixekizumab,TALTZ,"INJECTION, SOLUTION"
0002-7726,Insulin lispro-aabc,LYUMJEV,"INJECTION, SOLUTION"
0002-7728,Insulin lispro-aabc,LYUMJEV,"INJECTION, SOLUTION"
0002-7737,Insulin lispro,Insulin Lispro,"INJECTION, SOLUTION"
0002-7752,Insulin lispro,Insulin Lispro Junior KwikPen,"INJECTION, SOLUTION"
0002-7772,lebrikizumab-lbkz,EBGLYSS,"INJECTION, SOLUTION"
0002-7797,lebrikizumab-lbkz,EBGLYSS,"INJECTION, SOLUTION"
0002-8011,mirikizumab-mrkz,Omvoh,"INJECTION, SOLUTION"
0002-8147,Somatropin,HUMATROPE,KIT
0002-8148,Somatropin,HUMATROPE,KIT
0002-8149,Somatropin,HUMATROPE,KIT
0002-8207,Insulin lispro-aabc,LYUMJEV KwikPen,"INJECTION, SOLUTION"
0002-8213,Insulin lispro,Humalog Tempo Pen,"INJECTION, SOLUTION"
0002-8214,Insulin glargine,BASAGLAR Tempo Pen,"INJECTION, SOLUTION"
0002-8215,Insulin human,Humulin R,"INJECTION, SOLUTION"
0002-8222,Insulin lispro,Insulin Lispro KwikPen,"INJECTION, SOLUTION"
0002-8228,Insulin lispro-aabc,LYUMJEV KwikPen,"INJECTION, SOLUTION"
0002-8233,Insulin lispro,Insulin Lispro Protamine and Insulin Lispro Injectable Suspension Mix75/25 KwikPen,"INJECTION, SUSPENSION"
0002-8235,Insulin lispro-aabc,LYUMJEV Tempo Pen,"INJECTION, SOLUTION"
0002-8315,Insulin human,Humulin N,"INJECTION, SUSPENSION"
0002-8351,Insulin lispro-aabc,LYUMJEV Junior KwikPen,"INJECTION, SOLUTION"
0002-8400,Teriparatide,Forteo,"INJECTION, SOLUTION"
0002-8501,Insulin human,Humulin R U-500,"INJECTION, SOLUTION"
0002-8715,Insulin human,Humulin 70/30,"INJECTION, SUSPENSION"
0002-8797,Insulin lispro,Humalog Mix75/25 KwikPen,"INJECTION, SUSPENSION"
0002-8798,Insulin lispro,Humalog Mix50/50 KwikPen,"INJECTION, SUSPENSION"
0002-8799,Insulin lispro,Humalog KwikPen,"INJECTION, SOLUTION"
0002-8803,Insulin human,Humulin 70/30 KwikPen,"INJECTION, SUSPENSION"
0002-8805,Insulin human,Humulin N,"INJECTION, SUSPENSION"
0002-8824,Insulin human,Humulin R U-500 KwikPen,"INJECTION, SOLUTION"
0002-8870,mirikizumab-mrkz,Omvoh,"INJECTION, SOLUTION"
0002-8900,ixekizumab,TALTZ,"INJECTION, SOLUTION"
0002-8905,ixekizumab,TALTZ,"INJECTION, SOLUTION"
0002-8980,Insulin glargine-aglr,Rezvoglar KwikPen,"INJECTION, SOLUTION"
0002-9307,Insulin human,,CRYSTAL
0002-9401,donanemab-azbt,Kisunla,"INJECTION, SOLUTION"
0002-9524,Insulin glargine,,CRYSTAL
0002-9678,Teriparatide,Forteo,"INJECTION, SOLUTION"
0003-0050,xanomeline and trospium chloride,Cobenfy,"CAPSULE, COATED PELLETS"
0003-0125,xanomeline and trospium chloride,Cobenfy,"CAPSULE, COATED PELLETS"
0003-0249,Halcinonide,HALOG,SOLUTION
0003-0293,TRIAMCINOLONE ACETONIDE,KENALOG-40,"INJECTION, SUSPENSION"
0003-0315,TRIAMCINOLONE ACETONIDE,KENALOG-80,"INJECTION, SUSPENSION"
0003-0371,BELATACEPT,NULOJIX,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0003-0494,TRIAMCINOLONE ACETONIDE,KENALOG-10,"INJECTION, SUSPENSION"
0003-0524,dasatinib,SPRYCEL,TABLET
0003-0527,dasatinib,SPRYCEL,TABLET
0003-0528,dasatinib,SPRYCEL,TABLET
0003-0852,dasatinib,SPRYCEL,TABLET
0003-0855,dasatinib,SPRYCEL,TABLET
0003-0857,dasatinib,SPRYCEL,TABLET
0003-0893,apixaban,ELIQUIS,"TABLET, FILM COATED"
0003-0894,apixaban,ELIQUIS,"TABLET, FILM COATED"
0003-0895,deucravacitinib,SOTYKTU,"TABLET, FILM COATED"
0003-0898,apixaban,ELIQUIS SPRINKLE,CAPSULE
0003-1028,apixaban,ELIQUIS,"TABLET, FOR SUSPENSION"
0003-1100,xanomeline and trospium chloride,Cobenfy,"CAPSULE, COATED PELLETS"
0003-1611,entecavir,BARACLUDE,"TABLET, FILM COATED"
0003-1612,entecavir,BARACLUDE,"TABLET, FILM COATED"
0003-1614,entecavir,BARACLUDE,SOLUTION
0003-2187,abatacept,ORENCIA,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0003-2188,abatacept,ORENCIA,"INJECTION, SOLUTION"
0003-2291,elotuzumab,EMPLICITI,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION"
0003-2327,ipilimumab,YERVOY,INJECTION
0003-2328,ipilimumab,YERVOY,INJECTION
0003-2560,AZTREONAM,AZACTAM,"INJECTION, POWDER, FOR SOLUTION"
0003-2570,AZTREONAM,AZACTAM,"INJECTION, POWDER, FOR SOLUTION"
0003-2814,abatacept,ORENCIA,"INJECTION, SOLUTION"
0003-2818,abatacept,ORENCIA,"INJECTION, SOLUTION"
0003-3120,nivolumab and hyaluronidase-nvhy,OPDIVO QVANTIG,"INJECTION, SOLUTION"
0003-3622,ATAZANAVIR,REYATAZ,"CAPSULE, GELATIN COATED"
0003-3631,ATAZANAVIR,REYATAZ,"CAPSULE, GELATIN COATED"
0003-3638,ATAZANAVIR,REYATAZ,POWDER
0003-3641,atazanavir and cobicistat,EVOTAZ,TABLET
0003-3734,nivolumab,OPDIVO,INJECTION
0003-3756,nivolumab,OPDIVO,INJECTION
0003-3764,apixaban,ELIQUIS 30-Day Starter Pack,KIT
0003-3765,apixaban,ELIQUIS 30-Day Starter Pack,KIT
0003-3772,nivolumab,OPDIVO,INJECTION
0003-3774,nivolumab,OPDIVO,INJECTION
0003-4040,repotrectinib,Augtyro,CAPSULE
0003-4160,repotrectinib,Augtyro,CAPSULE
